tract_id,population,workers,businesses,total_businesses,population_year,employment_business_year,region_code
23080600010901,501,25.0,15.0,33,2023,2023,23080
23080600011001,338,14.0,0.0,10,2023,2023,23080
23080620010001,428,9070.0,1480.0,1489,2023,2023,23080
23080620010002,616,2048.0,432.0,440,2023,2023,23080
23080620010003,322,6693.0,927.0,934,2023,2023,23080
23080620010004,595,428.0,132.0,142,2023,2023,23080
23080620010005,472,272.0,27.0,54,2023,2023,23080
23080620010006,753,206.0,64.0,74,2023,2023,23080
23080620010007,630,168.0,46.0,62,2023,2023,23080
23080620010008,1053,419.0,33.0,48,2023,2023,23080
23080620010101,479,0.0,0.0,8,2023,2023,23080
23080620010102,454,8.0,0.0,11,2023,2023,23080
23080620020001,769,129.0,25.0,39,2023,2023,23080
23080620020002,778,113.0,46.0,50,2023,2023,23080
23080620020003,470,84.0,30.0,40,2023,2023,23080
23080620020004,477,50.0,21.0,37,2023,2023,23080
23080620020005,656,153.0,20.0,32,2023,2023,23080
23080620020006,638,174.0,52.0,60,2023,2023,23080
23080620020007,247,4560.0,578.0,583,2023,2023,23080
23080620020008,344,122.0,44.0,57,2023,2023,23080
23080620020009,534,20.0,13.0,18,2023,2023,23080
23080620020010,641,82.0,21.0,35,2023,2023,23080
23080620020011,601,11.0,0.0,14,2023,2023,23080
23080620020012,611,108.0,47.0,58,2023,2023,23080
23080620020013,395,107.0,20.0,29,2023,2023,23080
23080620020014,450,108.0,0.0,20,2023,2023,23080
23080620020101,467,15.0,0.0,10,2023,2023,23080
23080620020201,361,12.0,0.0,5,2023,2023,23080
23080630010001,751,616.0,184.0,186,2023,2023,23080
23080630010101,323,0.0,0.0,1,2023,2023,23080
23080630010201,637,9.0,9.0,11,2023,2023,23080
23080630010202,619,0.0,0.0,3,2023,2023,23080
23080630010301,483,7.0,0.0,6,2023,2023,23080
23080630010302,557,11.0,6.0,11,2023,2023,23080
23080630010303,370,21.0,10.0,17,2023,2023,23080
23080630020001,602,227.0,87.0,101,2023,2023,23080
23080630020002,337,350.0,41.0,51,2023,2023,23080
23080630020003,511,104.0,15.0,26,2023,2023,23080
23080630020004,109,925.0,367.0,373,2023,2023,23080
23080630020101,539,41.0,12.0,26,2023,2023,23080
23080630020102,565,0.0,0.0,7,2023,2023,23080
23080630020103,544,5.0,0.0,9,2023,2023,23080
23080630020104,444,0.0,0.0,8,2023,2023,23080
23080630020105,366,5.0,5.0,11,2023,2023,23080
23080630020106,567,7.0,7.0,11,2023,2023,23080
23080630020107,443,0.0,0.0,11,2023,2023,23080
23080630020108,534,32.0,9.0,25,2023,2023,23080
23080630020109,478,6.0,0.0,12,2023,2023,23080
23080630020110,451,7.0,0.0,7,2023,2023,23080
23080630020111,524,0.0,0.0,5,2023,2023,23080
23080630020112,406,17.0,0.0,7,2023,2023,23080
23080630020113,503,0.0,0.0,7,2023,2023,23080
23080630020201,511,0.0,0.0,2,2023,2023,23080
23080630020202,505,0.0,0.0,6,2023,2023,23080
23080630020203,540,20.0,0.0,9,2023,2023,23080
23080630020204,538,0.0,0.0,6,2023,2023,23080
23080630020205,547,17.0,8.0,15,2023,2023,23080
23080630020206,544,0.0,0.0,10,2023,2023,23080
23080630020207,395,0.0,0.0,4,2023,2023,23080
23080630020208,509,5.0,0.0,12,2023,2023,23080
23080630020209,524,71.0,14.0,31,2023,2023,23080
23080630020210,417,0.0,0.0,4,2023,2023,23080
23080630020211,404,0.0,0.0,9,2023,2023,23080
23080630020212,434,0.0,0.0,0,2023,2023,23080
23080630020213,534,46.0,0.0,15,2023,2023,23080
23080640010001,363,157.0,30.0,48,2023,2023,23080
23080640020001,796,9400.0,1092.0,1101,2023,2023,23080
23080640020002,683,247.0,39.0,68,2023,2023,23080
23080640020003,488,206.0,46.0,72,2023,2023,23080
23080640020004,490,12.0,6.0,13,2023,2023,23080
23080640020005,610,1231.0,57.0,77,2023,2023,23080
23080640020006,616,72.0,30.0,39,2023,2023,23080
23080640020007,435,171.0,56.0,62,2023,2023,23080
23080640020008,701,108.0,32.0,48,2023,2023,23080
23080640020009,842,57.0,34.0,43,2023,2023,23080
23080640020010,659,463.0,100.0,113,2023,2023,23080
23080640020011,385,135.0,15.0,34,2023,2023,23080
23080640020012,611,145.0,58.0,69,2023,2023,23080
23080640020013,392,76.0,19.0,36,2023,2023,23080
23080640020014,427,232.0,46.0,63,2023,2023,23080
23080640020015,434,425.0,46.0,58,2023,2023,23080
23080640020016,432,43.0,22.0,41,2023,2023,23080
23080640020017,397,141.0,33.0,46,2023,2023,23080
23080640020101,336,0.0,0.0,7,2023,2023,23080
23080640020401,410,0.0,0.0,9,2023,2023,23080
23080640020601,340,0.0,0.0,4,2023,2023,23080
23080640020701,326,6.0,0.0,6,2023,2023,23080
23080640020901,473,0.0,0.0,5,2023,2023,23080
23080640021001,393,0.0,0.0,10,2023,2023,23080
23080640021101,717,16.0,7.0,17,2023,2023,23080
23080640021401,350,0.0,0.0,7,2023,2023,23080
23080640021402,629,54.0,26.0,37,2023,2023,23080
23080640021501,918,24.0,11.0,26,2023,2023,23080
23080640021601,686,74.0,20.0,30,2023,2023,23080
23080640021701,500,0.0,0.0,5,2023,2023,23080
23080650010001,426,3820.0,270.0,282,2023,2023,23080
23080650010002,478,192.0,47.0,65,2023,2023,23080
23080650010003,460,140.0,47.0,62,2023,2023,23080
23080650010004,379,1734.0,350.0,371,2023,2023,23080
23080650010005,405,242.0,55.0,67,2023,2023,23080
23080650010006,491,146.0,41.0,63,2023,2023,23080
23080650010007,430,95.0,39.0,48,2023,2023,23080
23080650010008,641,127.0,82.0,97,2023,2023,23080
23080650010101,353,0.0,0.0,8,2023,2023,23080
23080650010201,357,0.0,0.0,7,2023,2023,23080
23080650010301,579,0.0,0.0,8,2023,2023,23080
23080650010302,540,6.0,0.0,12,2023,2023,23080
23080650010303,371,13.0,0.0,9,2023,2023,23080
23080650010304,513,0.0,0.0,7,2023,2023,23080
23080650010305,450,8.0,5.0,10,2023,2023,23080
23080650010306,477,23.0,6.0,13,2023,2023,23080
23080650010307,367,6.0,0.0,3,2023,2023,23080
